regiao;cargo;nome;partido;numero
AMREC;federal;Júlia Zanatta;PL;2233
AMREC;federal;Daniel Freitas;PL;2211
AMREC;federal;Geovania de Sá;REPUBLICANOS;1077
AMREC;federal;Ricardo Guidi;PL;2200
AMREC;federal;Ricardo Oliveira;NOVO;3060
AMREC;federal;Julio Garcia;PSD;5511
AMREC;federal;Jú;PT;1361
AMREC;federal;Giovana Mondardo;PCdoB;6565
AMREC;estadual;Acélio Casagrande;REPUBLICANOS;10100
AMREC;estadual;Ágatha Brum;PSOL;50044
AMREC;estadual;Professor Andrew Leal;PSOL;50321
AMREC;estadual;Dr. Anibal Dario;PDT;12999
AMREC;estadual;Arlindo Rocha;PT;13013
AMREC;estadual;Bia Vargas;PT;13620
AMREC;estadual;Clésio Salvaro;PSD;55111
AMREC;estadual;Guilherme Colombo;PL;22333
AMREC;estadual;DR. Irani;PP;11111
AMREC;estadual;Jairo;MISSÃO;14999
AMREC;estadual;Jefferson Monteiro;REPUBLICANOS;10333
AMREC;estadual;Jessé Lopes;PL;22022
AMREC;estadual;Jorge Junior;SOLIDARIEDADE;77777
AMREC;estadual;Lu Indalécio;PODE;20010
AMREC;estadual;Pastor Renato;SOLIDARIEDADE;77725
AMREC;estadual;Marco A Benedet Périco;MISSÃO;14144
AMREC;estadual;Mariana Sartor;PSOL;50100
AMREC;estadual;Michele Marques;NOVO;30600
AMREC;estadual;Rodrigo Minotto;PDT;12345
AMREC;estadual;Delegado Jorge Koch;MDB;15000
AMREC;estadual;Delegado Ulisses Gabriel;PL;22111
AMESC;estadual;Ju do Taxi;UNIÃO;44042
AMESC;estadual;Jucemar Custódio (Bujão);PSDB;45222
AMESC;estadual;Flaviana Rocho;PODE;20250
AMESC;estadual;Tatiane Santana;NOVO;30800
AMESC;estadual;Evandro Scaini;PP;11234
AMESC;estadual;Roberto Pereira;NOVO;30999
AMESC;estadual;Tiago Zilli;MDB;15789
AMESC;federal;Morgana Daniel;NOVO;3033
AMESC;federal;Zé Milton;PP;1111
AMUREL;federal;Carlos Moisés;UNIÃO;4411
AMUREL;federal;Deise Cardoso;PSD;5515
AMUREL;federal;Engenheira Silvana Silvano;SOLIDARIEDADE;7712
AMUREL;federal;Glenda Boni;SOLIDARIEDADE;7767
AMUREL;federal;Graci da Saúde;PDT;1213
AMUREL;federal;Joma Fretta;MDB;1515
AMUREL;federal;Maria Jose;MDB;1550
AMUREL;federal;Pamelys Barros;NOVO;3099
AMUREL;federal;Tuco Farias;MISSÃO;1415
AMUREL;estadual;Beto Kuerten Marcelino;PSD;55789
AMUREL;estadual;Abia Alves;PODE;20555
AMUREL;estadual;Carol da Rocha;PDT;12333
AMUREL;estadual;César Damiani;NOVO;30789
AMUREL;estadual;Cris da Saúde;MDB;15700
AMUREL;estadual;Expedito Michels da Fucap;REPUBLICANOS;10110
AMUREL;estadual;Leatrice Bez;MDB;15104
AMUREL;estadual;Lobão Segurança;PRD;25023
AMUREL;estadual;Lucas Esmeraldino;AVANTE;70070
AMUREL;estadual;Lucas Lucindo;PODE;20005
AMUREL;estadual;Maristela Francisco;PT;13007
AMUREL;estadual;Pepê Collaço;PP;11223
AMUREL;estadual;Rosenvaldo Junior;PDT;12789
AMUREL;estadual;Thayse Helena;NOVO;30707
AMUREL;estadual;Victoria Salgado;PDT;12112
AMUREL;estadual;Yolanda Silva;MISSÃO;14111
